epoch_id,timestamp,break_v,break_E_eV,n_points,PA_bins,status,features,cone_half_width_deg,input_file,break_index,error_message
0,2022-03-02 12:05:09,466869941.9493988,61.96836287192138,5294,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4317.0,
1,2022-03-02 12:06:09,432229614.91857034,53.11378296115106,5200,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4138.0,
2,2022-03-02 12:07:09,465350995.9234808,61.56579474245128,5652,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4589.0,
3,2022-03-02 12:08:09,431326962.5399402,52.892172875290164,5443,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4254.0,
4,2022-03-02 12:09:09,435416863.37982917,53.89998999174632,4778,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3821.0,
5,2022-03-02 12:10:09,465532375.9768445,61.61379714699823,5322,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4294.0,
6,2022-03-02 12:11:09,431312178.33974445,52.88854706406537,5399,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4215.0,
7,2022-03-02 12:12:09,465158818.7100031,61.51495526888736,5468,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4389.0,
8,2022-03-02 12:13:09,441372440.73085624,55.38454846307805,4846,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3892.0,
9,2022-03-02 12:14:09,435313558.6816072,53.874416973625415,4973,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3926.0,
10,2022-03-02 12:15:09,473089490.6615723,63.63042088585659,4873,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,4042.0,
11,2022-03-02 12:16:09,436542718.93945295,54.17908831418503,4261,"7,8,9,10",ok,"v_perp,log_psd,deriv,second_deriv",20.0,VDF_eas_forFitting_20220302121509_20220302122509_1min.h5,3405.0,
